Unterkunft Name,Preis pro Nacht,Zeitraum
Furnished studio with garden W5,77 CHF per night,26.06.2025-29.06.2025
Beautiful room near HSG,71 CHF per night,26.06.2025-29.06.2026
Room St. Gallen close to University,88 CHF per night,26.06.2025-29.06.2027
tiny flat,129 CHF per night,26.06.2025-29.06.2028
Bijoux Ferienwohnung op Bauernhof im Wald,100 CHF per night,26.06.2025-29.06.2029
"Nice room, central located in nice old house",79 CHF per night,26.06.2025-29.06.2030
Room with standing shower,44 CHF per night,26.06.2025-29.06.2031
Lovely 2 1/2 room attic apartment,139 CHF per night,26.06.2025-29.06.2032
"Nice single bedroom, central",35 CHF per night,26.06.2025-29.06.2033
"cozy studio on the ground floor, in Appenzellerland",73 CHF per night,26.06.2025-29.06.2034
"Histor. grossbürgerl. Residential building, quiet location",55 CHF per night,26.06.2025-29.06.2035
Private studio apartment with kitchen,88 CHF per night,26.06.2025-29.06.2036
Beautiful,81 CHF per night,26.06.2025-29.06.2037
Comfortable double room-central,38 CHF per night,26.06.2025-29.06.2038
"Sustainable living on the 1st floor, free parking!",220 CHF per night,26.06.2025-29.06.2039
Leimathof attic apartment,264 CHF per night,26.06.2025-29.06.2040
"Birkenhof, Haus Märli",587 CHF per night,26.06.2025-29.06.2041
TouchBed | Budget Studio,227 CHF per night,26.06.2025-29.06.2042
cozy apartment in Goldach,95 CHF per night,26.06.2025-29.06.2043
Close to nature and public transport at your doorstep (with ticket),75 CHF per night,26.06.2025-29.06.2044
Cozy apartment above a bakery,77 CHF per night,26.06.2025-29.06.2045
Recharge in nature,45 CHF per night,26.06.2025-29.06.2046
Ferienwohnung Rotenwies,169 CHF per night,26.06.2025-29.06.2047
In the countryside near the center (Family room 2+2),69 CHF per night,26.06.2025-29.06.2048
"Queensize Bed, Working Station, Free Parking Lot",258 CHF per night,26.06.2025-29.06.2049
Charming apartment in the center of Goldach,101 CHF per night,26.06.2025-29.06.2050
"Herisau, home in the middle of it and yet quiet",58 CHF per night,26.06.2025-29.06.2051
Ferienapartment Rietbach,106 CHF per night,26.06.2025-29.06.2052
Scenic Ambience Farmhouse,113 CHF per night,26.06.2025-29.06.2053
Nice apartment in the center of Herisau up to 6 guests,380 CHF per night,26.06.2025-29.06.2054
Charming old building apartment quiet yet central,92 CHF per night,09.10.2025-19.10.2025
For patience (right by the train station),69 CHF per night,09.10.2025-19.10.2026
Furnished studio with garden W5,61 CHF per night,09.10.2025-19.10.2027
Cozy Apartment in the Heart of St. Gallen,78 CHF per night,09.10.2025-19.10.2028
Poliba St.Gallen-3 1/2 room apartment,46 CHF per night,09.10.2025-19.10.2029
Cozy old building apartment in the center,95 CHF per night,09.10.2025-19.10.2030
Unique beautiful old building apartment in the center,115 CHF per night,09.10.2025-19.10.2031
Charming apartment 2 room W43,78 CHF per night,09.10.2025-19.10.2032
Cozy apartment,70 CHF per night,09.10.2025-19.10.2033
"Nice single bedroom, central",34 CHF per night,09.10.2025-19.10.2034
Beautiful room near HSG,64 CHF per night,09.10.2025-19.10.2035
2. Modern Apartment 2 min from station,149 CHF per night,09.10.2025-19.10.2036
Bright apartment via St.Gallen,100 CHF per night,09.10.2025-19.10.2037
The house with the pig,54 CHF per night,09.10.2025-19.10.2038
Studio with panoramic views,58 CHF per night,09.10.2025-19.10.2039
Lovely 2 1/2 room attic apartment,98 CHF per night,09.10.2025-19.10.2040
Private studio apartment with kitchen,72 CHF per night,09.10.2025-19.10.2041
Studio with charm and view,58 CHF per night,09.10.2025-19.10.2042
"Live like the locals"" right in the center""",86 CHF per night,09.10.2025-19.10.2043
Olma / City Centre / Cosy,126 CHF per night,09.10.2025-19.10.2044
Beautiful,73 CHF per night,09.10.2025-19.10.2045
1. Modern Apartment 2 min from station,149 CHF per night,09.10.2025-19.10.2046
"cozy studio on the ground floor, in Appenzellerland",60 CHF per night,09.10.2025-19.10.2047
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",84 CHF per night,09.10.2025-19.10.2048
Time,64 CHF per night,09.10.2025-19.10.2049
Säntis Park/Free Parking/Netflix,74 CHF per night,09.10.2025-19.10.2050
Old building apartment with charm,87 CHF per night,09.10.2025-19.10.2051
cosy room with privacy,43 CHF per night,09.10.2025-19.10.2052
Core renovated apartment near train station and center,129 CHF per night,09.10.2025-19.10.2053
Your home in Herisau,104 CHF per night,09.10.2025-19.10.2054